Aba
Abádszalók
Abaliget
Abapuszta (Balkány)
Abasár
Abasár
Abaújalpár
Abaújdevecser (Encs)
Abaújkér
Abaújlak
Abaújszántó
Abaújszolnok
Abaújvár
Abda
Abod
Abony
Abony
Ábrahámhegy
Ács
Ács
Acsa
Acsád
Acsalag
Acsaújlak (Acsa)
Ácsteszér
Adács
Ádánd
Adásztevel
Adásztevel Újtelep
Adony
Adorjánháza
Adorjánpuszta
Adorjánpuszta
Adorjánújtelep
Adorjás
Adriántelep
Adyliget (Pesthidegkút)
Ág
Agárd
Agarév (Háromfa)
Ágasegyháza
Ágfalva
Aggtelek
Ágostonpuszta
Agostyán (Tata)
Agostyán (Tata)
Agyagosszergény
Ajak
Ajka
Ajkarendek
Ajtósfalva (Gyula)
Aka
Akadémiaújtelep (Rákoskeresztúr)
Akalacspuszta
Akarattya (Balatonkenese)
Akasztó
Akasztóhalom (Kunhegyes)
Akli (Zirc)
Aknatelep (Ózd)
Alacska
Alag (Dunakeszi)
Alap
Alatka (Boconád)
Alattyán
Albert Kázmér-puszta
Albertakna (Etes)
Albertfalva (Budapest)
Alberti (Albertirsa)
Albertirsa
Albertirsa
Albertirsa
Alcsisziget (Szolnok)
Alcsút (Alcsútdoboz)
Alcsútdoboz
Aldebrő
Algyő
Algyő
Alibánfa
Állampuszta
Almamellék
Almásfüzitő
Almásháza
Almáskamarás
Almáskeresztúr
Almáspuszta (Naszály)
Almáspuszta (Naszály)
Álmosd
Álmosd
Alpár (Tiszaalpár)
Alsóbélatelep (Fonyód)
Alsóberecki
Alsóberkifalu (Körmend)
Alsóbogát
Alsóborsfa (Borsfa)
Alsóbű (Bodrog)
Alsócsinger (Ajka)
Alsócsöde (Csöde)
Alsódaburbokor (Nyíregyháza)
Alsódobsza
Alsódobsza
Alsóegerszeg (Bogádmindszent)
Alsóerek (Szakmár)
Alsófarkasi
Alsógagy
Alsógalambos (Kiskunfélegyháza)
Alsógalla (Tatabánya)
Alsógöd (Göd)
Alsógörzsöny (Nemesgörzsöny)
Alsógyükés (Pécs)
Alsóhahót (Hahót)
Alsóhangony (Hangony)
Alsóhetény (Kapospula)
Alsok (Csurgó)
Alsókanda
Alsókázsmárk (Kázsmárk)
Alsókotormány (Bajánsenye)
Alsókölked
Alsóleperd
Alsómándpuszta
Alsómégy
Alsómégy
Alsómocsolád
Alsómocsolád
Alsómonostor
Alsómóricgát
Alsónána
Alsónémedi
Alsónemesapáti
Alsónyék
Alsóörs
Alsópáhok
Alsópázsit (Nyíregyháza)
Alsópélpuszta
Alsópetény
Alsórajk
Alsóregmec
Alsórönök (Rönök)
Alsóság (Celldömölk)
Alsósegesd (Segesd)
Alsósóskút (Nyírtelek)
Alsószállás (Dunafalva)
Alsószállások (Bátya)
Alsószalmavár
Alsószéktó (Kecskemét)
Alsószeleste (Szeleste)
Alsószemenye (Szemenyecsörnye)
Alsószenterzsébet
Alsószentiván
Alsószentmárton
Alsószer (Szalafő)
Alsószölnök
Alsószölnöki tanyák
Alsószuha
Alsótanyairész (Jászszentandrás)
Alsótanyák (Szászberek)
Alsótapazd
Alsótekeres
Alsótelekes
Alsótelep (Környebánya)
Alsótelep (Sződliget)
Alsótengelic (Tengelic)
Alsótold
Alsótöbörzsök (Sárbogárd)
Alsóújlak
Alsóújlak
Alsóvadász
Alsóváros (Csongrád)
Alsóváros (Pápa)
Alsóváros (Szeged)
Alsóváros (Székesfehérvár)
Alsózsolca
Alsózsolca
Alszegszer (Őriszentpéter)
Altáróbányatelep (Tokod)
Amáliaakna (Etes)
Ambrózfalva
Anarcs
Andocs
Andorháza
Andornak
Andornaktálya
Andrásbányavölgy (Pécs)
Andrásfa
Andráshida (Zalaegerszeg)
Andráspuszta
Andrássytelep (Vecsés)
Andrástanya (Edelény)
Angyalföld (Budapest)
Annabánya (Miskolc)
Annavölgyibánya
Antalbokor (Nyíregyháza)
Antalfalu
Antalhegy (Gödöllő)
Antalmajor
Antalszállás
Apácatorna
Apagy
Apaj
Aparhant
Apátfa (Zalaegerszeg)
Apátfalva
Apátfalva
Apátipuszta
Apátipuszta
Apátistvánfalva
Apátszállás (Baracs)
Apátvarasd
Apc
Áporka
Apostag
Apróhomok
Arács (Balatonfüred)
Aradványpuszta (Nyíradony)
Arak
Arak
Aranyegyháza
Aranyhegy
Aranyhegy (Budapest)
Aranyhegy (Budapest)
Aranyhegy (Pécs)
Aranykalász sor
Aranyod (Zalaszentgrót)
Aranyosapáti
Aranyosgadány
Aranyosgadány
Aranyospuszta
Ardics (Makó)
Arka
Árkus
Arló
Arló
Arnót
Árokospuszta
Ároktő
Árpádföld (Budapest)
Árpádhalom
Árpádszállás (Lakitelek)
Árpádtelep (Tiszaalpár)
Árpádtelep (Végegyháza)
Árpádtető
Árpás
Ártánd
Ásotthalom
Ásványráró
Aszaló
Ászár
Ászár
Asszonyrész
Asszonyvár (Belezna)
Aszód
Aszód
Aszód Újtelep
Aszófő
Áta
Átány
Atkár
Átó
Attala
Attilatelep (Egyek)
Babarc
Babarc
Babarcszőlős
Babócsa
Bábolna
Bábonymegyer
Bábonymegyer
Bábonymegyer
Babosdöbréte
Babót
Bácsalmás
Bácsbokod
Bácsborista
Bácsborsód
Bácsszentgyörgy
Bácsszőlős
Badacsony
Badacsonyörs
Badacsonytomaj
Badacsonytördemic
Bag
Bag
Bagamér
Bagamér
Baglad
Baglyas
Baglyasalja (Salgótarján)
Baglyasrakodó (Salgótarján)
Bagod
Bagodvitenyéd (Bagod)
Bagola (Nagykanizsa)
Bagolyirtás
Bagota (Görbeháza)
Bágyogszovát
Baj
Baja
Baja
Bajánsenye
Bajcsa (Nagykanizsa)
Bájibokor
Bajna
Bajorhegy
Bajót
Bak
Bakháza
Bakóca
Bakóca
Bakonszeg
Bakony Művek-lakótp. (Ajka)
Bakonya
Bakonybánk
Bakonybél
Bakonybél
Bakonycsernye
Bakonygyepes
Bakonygyirót
Bakonygyirót
Bakonyjákó
Bakonykoppány
Bakonykúti
Bakonynána
Bakonyoszlop
Bakonypéterd
Bakonypölöske
Bakonyság
Bakonysárkány
Bakonyszentiván
Bakonyszentkirály
Bakonyszentlászló
Bakonyszentlászló Újtelep
Bakonyszombathely
Bakonyszücs
Bakonytamási
Bakópuszta
Baks
Baksa
Baksaháza
Baksaszer (Őriszentpéter)
Bakta (Szekszárd)
Baktakék
Baktalórántháza
Baktalórántháza
Baktó (Szeged)
Baktüttös
Balabánsziget (Ráckeve)
Balajt
Balassagyarmat
Balassagyarmat
Balástya
Balaton
Balatonakali
Balatonakali
Balatonaliga
Balatonalmádi
Balatonberény
Balatonboglár
Balatonbozsok (Enying)
Balatoncsicsó
Balatonederics
Balatonendréd
Balatonfenyves
Balatonfőkajár
Balatonföldvár
Balatonfüred
Balatonfüred
Balatonfűzfő
Balatongyörök
Balatonhenye
Balatonkenese
Balatonkenese-Üdülőtep
Balatonkeresztúr
Balatonkeresztúr
Balatonkiliti (Siófok)
Balatonlelle
Balatonmagyaród
Balatonmáriafürdő
Balatonőszöd
Balatonrendes
Balatonszabadi
Balatonszárszó
Balatonszárszó
Balatonszemes
Balatonszentgyörgy
Balatonszepezd
Balatonszéplak (Siófok)
Balatonszőlős
Balatonudvari
Balatonújlak
Balatonvilágos
Balázs (Szabadszállás)
Balf
Bálics (Pécs)
Balinka
Bálintbokor (Nyíregyháza)
Balkány
Ballatelep (Törökszentmiklós)
Ballószög
Balmazújváros
Balogunyom
Balotaszállás
Balozsameggyes (Meggyeskovácsi)
Balsa
Bálványos
Bana
Bancsitelep (Vámospércs)
Bánd
Bánfa
Bánfa
Bánfalva (Bánhorváti)
Bánfibokor
Bánhalma (Kenderes)
Bánháza
Bánházatanyák
Bánhida (Tatabánya)
Bánhorváti
Bánhorváti
Bánk
Bánk (Debrecen)
Bankfalu (Kiskunfélegyháza)
Bankháza (Kiskunlacháza)
Bánkút (Medgyesegyháza)
Bánokszentgyörgy
Bánomszőlő (Cibakháza)
Bánomvára (Kótaj)
Bános
Bánréve
Bánszállás
Bánya
Bányatelep (Nagymányok)
Bányatelep (Pusztavám)
Bányatelep (Putnok)
Bányatelep (Szúcs)
Bánya-tp. (Celldömölk)
Bár
Barabás
Barabásszeg
Baracs
Baracska
Baracska
Báránd
Bárándpuszta
Baranyahídvég
Baranyajenő
Baranyaszentgyörgy
Bárányszeg
Barátihegy
Barátipuszta
Barátsziget
Barátúr
Barbacs
Barcs
Bárdos (Bozzai)
Bárdudvarnok
Bárdudvarnok
Bárhely
Baricska (Balatonfüred)
Barlahida
Bárna
Barnag
Barnag
Bársonyos
Bárszentmihályfa
Basaharc
Basal
Bashalom (Tiszaeszlár)
Baskó
Báta
Bátaapáti
Bátaszék
Baté
Batida
Bátmonostor
Bátonyterenye
Bátonyterenye
